Reply,Commented At,Complete,Annotation,Frame,Duration,Timecode,Timecode In,Timecode Out,Timecode Source,Timecode Source In,Timecode Source Out,Time In,Time Out
no,2025-11-02 03:21:55 PM,no,no,13,0,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00,00:00:00
no,2025-11-02 03:13:40 PM,no,no,88,0,00:00:03:15,00:00:03:15,00:00:03:15,00:00:03:15,00:00:03:15,00:00:03:15,00:00:03,00:00:03
no,2025-11-02 03:14:02 PM,no,no,159,0,00:00:06:15,00:00:06:15,00:00:06:15,00:00:06:15,00:00:06:15,00:00:06:15,00:00:06,00:00:06
no,2025-11-02 03:15:07 PM,no,no,250,0,00:00:10:09,00:00:10:09,00:00:10:09,00:00:10:09,00:00:10:09,00:00:10:09,00:00:10,00:00:10
no,2025-11-02 03:16:10 PM,no,no,336,0,00:00:14:00,00:00:14:00,00:00:14:00,00:00:14:00,00:00:14:00,00:00:14:00,00:00:14,00:00:14
no,2025-11-02 03:16:47 PM,no,no,634,0,00:00:26:09,00:00:26:09,00:00:26:09,00:00:26:09,00:00:26:09,00:00:26:09,00:00:26,00:00:26
no,2025-11-02 03:17:33 PM,no,no,753,0,00:00:31:09,00:00:31:09,00:00:31:09,00:00:31:09,00:00:31:09,00:00:31:09,00:00:31,00:00:31
no,2025-11-02 03:19:03 PM,no,no,1824,0,00:01:16:00,00:01:16:00,00:01:16:00,00:01:16:00,00:01:16:00,00:01:16:00,00:01:16,00:01:16
no,2025-11-02 03:18:48 PM,no,no,1953,0,00:01:21:09,00:01:21:09,00:01:21:09,00:01:21:09,00:01:21:09,00:01:21:09,00:01:21,00:01:21
no,2025-11-02 03:18:51 PM,no,no,2552,0,00:01:46:07,00:01:46:07,00:01:46:07,00:01:46:07,00:01:46:07,00:01:46:07,00:01:46,00:01:46
no,2025-11-02 03:20:14 PM,no,no,2780,0,00:01:55:19,00:01:55:19,00:01:55:19,00:01:55:19,00:01:55:19,00:01:55:19,00:01:55,00:01:55
